Offender_isMale,Offender_ethnicAppearance,Offender_Age,DASH_Assessment,AccHowKnown,Known 1,Known 2,ProceedingsType,Previous_Crimes,Crimes in pre 1,Previous_DV,DV in Pre 1
0,3,41.0,2,1,0,1,0,41.0,0,41.0,0
1,6,27.0,1,4,0,1,0,27.0,0,27.0,0
0,6,38.0,1,1,0,1,3,38.0,0,38.0,0
0,3,40.0,0,2,1,1,0,40.0,0,40.0,0
0,3,55.0,1,2,1,1,0,55.0,0,55.0,0
0,7,22.0,0,0,0,0,0,22.0,0,22.0,0
0,6,31.0,1,7,1,0,0,31.0,1,31.0,0
0,2,54.0,2,6,1,1,7,54.0,0,54.0,0
0,3,34.0,3,1,0,1,0,34.0,0,34.0,0
1,6,48.0,1,3,0,0,0,48.0,0,48.0,0
0,3,53.0,0,1,0,1,0,53.0,0,53.0,0
0,3,39.0,0,1,0,1,3,39.0,0,39.0,0
0,3,43.0,1,2,1,1,0,43.0,0,43.0,0
1,6,39.0,2,4,0,1,3,39.0,0,39.0,0
1,6,32.0,2,3,0,0,5,32.0,1,32.0,1
0,3,40.0,2,10,1,1,0,40.0,0,40.0,0
0,6,68.0,0,2,1,1,0,68.0,0,68.0,0
0,3,39.0,0,1,0,1,0,39.0,0,39.0,0
1,6,27.0,0,4,0,1,0,27.0,0,27.0,0
0,6,26.0,2,0,0,0,2,26.0,0,26.0,0
0,3,59.0,1,7,1,0,0,59.0,0,59.0,0
1,3,20.0,2,0,0,0,5,20.0,0,20.0,0
0,6,39.0,2,0,0,0,0,39.0,0,39.0,0
0,6,39.0,0,0,0,0,0,39.0,0,39.0,0
0,6,37.0,0,0,0,0,0,37.0,0,37.0,0
0,6,31.0,0,0,0,0,5,31.0,0,31.0,0
0,2,37.0,2,2,1,1,0,37.0,1,37.0,1
1,7,27.0,1,4,0,1,0,27.0,0,27.0,0
0,3,24.0,1,1,0,1,0,24.0,1,24.0,0
0,6,31.0,0,1,0,1,0,31.0,0,31.0,0
0,3,43.0,1,0,0,0,0,43.0,0,43.0,0
0,6,45.0,2,1,0,1,0,45.0,0,45.0,0
0,6,47.0,2,1,0,1,0,47.0,0,47.0,0
0,3,30.0,0,1,0,1,0,30.0,1,30.0,0
0,3,17.0,2,3,0,0,0,17.0,0,17.0,0
0,2,42.0,1,2,1,1,3,42.0,0,42.0,0
0,3,24.0,2,1,0,1,0,24.0,1,24.0,1
1,3,15.0,2,3,0,0,0,15.0,0,15.0,0
0,3,24.0,2,1,0,1,0,24.0,1,24.0,0
0,2,42.0,2,7,1,0,0,42.0,0,42.0,0
0,6,30.0,1,1,0,1,0,30.0,0,30.0,0
0,6,19.0,1,0,0,0,2,19.0,0,19.0,0
0,6,48.0,1,1,0,1,0,48.0,1,48.0,0
0,6,28.0,1,7,1,0,3,28.0,0,28.0,0
0,4,37.0,1,2,1,1,0,37.0,0,37.0,0
0,2,28.0,1,2,1,1,0,28.0,0,28.0,0
0,2,19.0,3,0,0,0,6,19.0,0,19.0,0
0,6,63.0,1,2,1,1,0,63.0,0,63.0,0
0,6,32.0,1,0,0,0,0,32.0,0,32.0,0
1,6,23.0,1,3,0,0,0,23.0,0,23.0,0
0,3,29.0,2,1,0,1,0,29.0,0,29.0,0
0,6,50.0,0,1,0,1,0,50.0,0,50.0,0
